,icao24,Çağrı İşareti,Kaynak Ülke,Zaman Pozisyonu,Son Temas,Long,Lat,Baro İrtifası,Yerde,Hız,Gerçek İz,Dikey Hız,Sensörler,Geo Yükseklik,Squawk,Spi,Konum Kaynağı
3777,4d2209,RYR4PB  ,Malta,1714025411,1714025411,13.5139,52.3745,114.3,false,64.49,248.96,-0.65,Veri Yok,121.92,1000,false,0
3778,347191,BCS8296 ,Spain,1714025412,1714025412,-7.5274,42.7258,5166.36,false,182.03,261.55,-13.0,Veri Yok,5242.56,5140,false,0
3779,800c3c,VTI836  ,India,1714025411,1714025411,80.1517,13.2117,2499.36,false,148.78,351.45,14.63,Veri Yok,2522.22,Veri Yok,false,0
3780,800c3a,LLR647  ,India,1714025368,1714025368,80.7521,26.9887,4572.0,false,140.01,150.99,0.0,Veri Yok,4770.12,Veri Yok,false,0
3781,800c11,IGO282  ,India,1714025412,1714025412,86.2098,25.3429,11277.6,false,284.22,111.22,0.0,Veri Yok,11826.24,0515,false,0
3782,7c2baf,VOZ853  ,Australia,1714025411,1714025411,151.1526,-33.857,403.86,false,77.69,168.54,-3.9,Veri Yok,464.82,3267,false,0
3783,7c32a8,KAI     ,Australia,1714025411,1714025412,145.4387,-38.2278,518.16,false,58.47,291.15,0.0,Veri Yok,594.36,Veri Yok,false,0
3784,7c2bc5,VOZ1754 ,Australia,1714025411,1714025412,144.7436,-37.2137,2301.24,false,130.68,167.5,-6.5,Veri Yok,2400.3,1145,false,0
3785,7c2bc0,IXE     ,Australia,1714025409,1714025409,115.8739,-32.1004,-60.96,false,2.57,53.13,0.0,Veri Yok,0.0,Veri Yok,false,0
3786,0d0f35,VIV1255 ,Mexico,1714025382,1714025382,-99.0718,19.4394,Veri Yok,true,3.86,239.06,Veri Yok,Veri Yok,Veri Yok,Veri Yok,false,0
3787,800c0b,VTI801  ,India,1714025411,1714025412,77.9372,13.6394,5852.16,false,171.5,204.64,-9.75,Veri Yok,6141.72,Veri Yok,false,0
3788,39b171,FHMLR   ,France,1714025410,1714025410,-1.7239,48.0709,Veri Yok,true,1.29,281.25,Veri Yok,Veri Yok,Veri Yok,Veri Yok,false,0
3789,7c2bbd,IXB     ,Australia,1714025411,1714025412,145.4351,-37.6222,1402.08,false,68.63,217.39,0.0,Veri Yok,1493.52,4041,false,0
3790,4406e3,OEXXG   ,Austria,1714025409,1714025409,26.5173,44.9735,160.02,false,10.42,200.22,-0.65,Veri Yok,144.78,Veri Yok,false,0
